"","probsuccess","lci","uci","Site","year"
"1",0.776515739744539,0.684939580283188,0.868091899205889,"Kigigak Island","1994"
"2",0.792001223196842,0.710415537599013,0.87358690879467,"Kigigak Island","1995"
"3",0.871216932707376,0.810722935420243,0.931710929994508,"Kigigak Island","1996"
"4",0.864318404603612,0.809119390313852,0.919517418893372,"Kigigak Island","1997"
"5",0.928995198792108,0.885667956299478,0.972322441284738,"Kigigak Island","1998"
"6",0.866992238079924,0.808047763404912,0.925936712754936,"Kigigak Island","1999"
"7",0.9190953747919,0.875249014880344,0.962941734703455,"Kigigak Island","2000"
"8",0.112026696409244,-0.0209036342860214,0.24495702710451,"Kigigak Island","2001"
"9",0.854761639282985,0.797283621076568,0.912239657489402,"Kigigak Island","2002"
"10",0.644532030271554,0.554411156068563,0.734652904474544,"Kigigak Island","2003"
"11",0.858724592036667,0.796881331308355,0.920567852764979,"Kigigak Island","2004"
"12",0.911673964078438,0.862311918600539,0.961036009556337,"Kigigak Island","2005"
"13",0.890471720365352,0.842080881261597,0.938862559469108,"Kigigak Island","2006"
"14",0.954305276246291,0.925480033640475,0.983130518852107,"Kigigak Island","2007"
"15",0.814312070346932,0.746194910229054,0.88242923046481,"Kigigak Island","2008"
"16",0.814196002063449,0.736226755331578,0.89216524879532,"Kigigak Island","2009"
"17",0.868249212913019,0.806822766607548,0.92967565921849,"Kigigak Island","2010"
"18",0.781557323006007,0.699573951655866,0.863540694356147,"Kigigak Island","2011"
"19",0.897427279852465,0.843766003771834,0.951088555933097,"Kigigak Island","2012"
"20",0.800426865235141,0.685866173521375,0.914987556948907,"Kigigak Island","2013"
"21",0.775436632590569,0.665159011009485,0.885714254171653,"Kigigak Island","2014"
"22",0.304160372867422,0.166570095076949,0.441750650657895,"Kigigak Island","2015"
"23",0.735882361691532,0.64952728217344,0.822237441209623,"Kigigak Island","2019"
"24",0.875836063821098,0.812433420321307,0.939238707320888,"Kigigak Island","2021"
"25",0.577400570477533,0.327249057758728,0.827552083196338,"Utqiaġvik","2010"
"26",0.722552446362288,0.484113075130136,0.96099181759444,"Utqiaġvik","2011"
"27",0.67534096450285,0.455717342730882,0.894964586274817,"Utqiaġvik","2012"
"28",0.48470305313704,0.231210907271015,0.738195199003064,"Utqiaġvik","2013"
"29",0.797573931187425,0.615892352118676,0.979255510256175,"Utqiaġvik","2014"
"30",0.808973680658611,0.569538849441035,1.04840851187619,"Utqiaġvik","2015"
"31",0.399713162269413,0.163239170208416,0.63618715433041,"Utqiaġvik","2016"
"32",0.745477423892264,0.486410293660835,1.00454455412369,"Utqiaġvik","2017"
"33",0.826610206886347,0.659046708162896,0.994173705609798,"Utqiaġvik","2018"
"34",0.747567659235653,0.588554751439758,0.906580567031548,"Utqiaġvik","2019"
