"","x","predicted","std.error","conf.low","conf.high","Site"
"1",-2.4,4.30749729555999,0.0517321442650194,3.89215863200287,4.76715743256041,"Kigigak Island"
"2",-2.4,4.77795078912414,0.0650958479662392,4.20563894949875,5.42814397940956,"Utqiaġvik"
"3",-2.2,4.33791062962608,0.0480917362108145,3.9477063505803,4.7666839829302,"Kigigak Island"
"4",-2.2,4.81168578732153,0.063092389460849,4.25199671205105,5.44504657077778,"Utqiaġvik"
"5",-2,4.36853869879832,0.0445112000277843,4.00357699534806,4.76676991227427,"Kigigak Island"
"6",-2,4.845658973427,0.0612834503593282,4.29722683076249,5.46408458559012,"Utqiaġvik"
"7",-1.8,4.39938301922637,0.041006222194752,4.05963711690038,4.76756182696324,"Kigigak Island"
"8",-1.8,4.87987202918007,0.0596867193154233,4.3411321397135,5.48547020795032,"Utqiaġvik"
"9",-1.6,4.43044511776474,0.0375979398915207,4.11570214000742,4.76925765611649,"Kigigak Island"
"10",-1.6,4.91432664819427,0.0583196290451259,4.38351262580043,5.50941869381349,"Utqiaġvik"
"11",-1.4,4.46172653204837,0.034315177460076,4.17151506175596,4.77212795640842,"Kigigak Island"
"12",-1.4,4.949024536041,0.0571986476755625,4.42417227438514,5.53614152869754,"Utqiaġvik"
"13",-1.2,4.4932288105688,0.0311975835406477,4.22671634853988,4.77654601806905,"Kigigak Island"
"14",-1.2,4.98396741033393,0.0563384678039282,4.46292720513273,5.5658382952567,"Utqiaġvik"
"15",-1,4.52495351275076,0.0282997973148918,4.28080347666144,4.78302832731855,"Kigigak Island"
"16",-1,5.01915700081406,0.0557511623888189,4.49961447596803,5.59868787278739,"Utqiaġvik"
"17",-0.8,4.55690220902938,0.0256962902377231,4.33308278875753,4.79228271302222,"Kigigak Island"
"18",-0.8,5.0545950494353,0.0554454033761477,4.53410063115104,5.63483989266684,"Utqiaġvik"
"19",-0.6,4.58907648092795,0.0234851363744758,4.38262903206526,4.80524881155227,"Kigigak Island"
"20",-0.6,5.09028331045075,0.0554258504491549,4.56628890187455,5.67440754132233,"Utqiaġvik"
"21",-0.4,4.62147792113621,0.0217861291583253,4.42829450247164,4.82308892591233,"Kigigak Island"
"22",-0.4,5.1262235504995,0.0556928050569329,4.59612402930659,5.71746274080864,"Utqiaġvik"
"23",-0.2,4.65410813358914,0.0207256052145123,4.46883996542466,4.84705710804801,"Kigigak Island"
"24",-0.2,5.16241754869412,0.0562421876071339,4.62359400043275,5.76403441664008,"Utqiaġvik"
"25",0,4.68696873354645,0.0204033696712451,4.50323567964081,4.87819813840927,"Kigigak Island"
"26",0,5.19886709670867,0.0570658417373445,4.64872849969147,5.81411004988437,"Utqiaġvik"
"27",0.2,4.72006134767243,0.0208536752397324,4.53103026174863,4.91697866462566,"Kigigak Island"
"28",0.2,5.23557399886747,0.0581521144428672,4.67159443776114,5.86764015216054,"Utqiaġvik"
"29",0.4,4.75338761411656,0.0220291975045858,4.55252084792792,4.96311704323565,"Kigigak Island"
"30",0.4,5.27254007223435,0.0594866205948034,4.69228935919908,5.92454486184161,"Utqiaġvik"
"31",0.6,4.78694918259456,0.0238228211808962,4.56857537932974,5.01576105768547,"Kigigak Island"
"32",0.6,5.30976714670262,0.061053084607028,4.71093374380533,5.98472164658989,"Utqiaġvik"
"33",0.8,4.82074771447007,0.0261074619595038,4.58027645815303,5.07384406572254,"Kigigak Island"
"34",0.8,5.34725706508569,0.0628341606525053,4.72766318614272,6.04805312779439,"Utqiaġvik"
"35",1,4.85478488283687,0.0287663662207447,4.58864030631762,5.13636604424449,"Kigigak Island"
"36",1,5.38501168320822,0.0648121581526633,4.74262122754708,6.1144142525772,"Utqiaġvik"
"37",1.2,4.88906237260173,0.0317055133337113,4.59449513467115,5.20251522366689,"Kigigak Island"
"38",1.2,5.42303286999807,0.0669696307182287,4.75595332468673,6.1836783293109,"Utqiaġvik"
"39",1.4,4.9235818805678,0.0348540789663329,4.59846959150595,5.2716796430346,"Kigigak Island"
"40",1.4,5.46132250757872,0.0692898154658755,4.76780215766387,6.25572172365476,"Utqiaġvik"
"41",1.6,4.95834511551859,0.0381602615302578,4.60102590180057,5.34341401446271,"Kigigak Island"
"42",1.6,5.49988249136254,0.0717569307501604,4.77830426311547,6.33042722965365,"Utqiaġvik"
