"","x","predicted","std.error","conf.low","conf.high","Site"
"1",-3,5.88772655894857,0.0412324508594752,5.43063364915697,6.38329268230599,"Kigigak Island"
"2",-3,6.53076852479331,0.0821719643101516,5.55929074996098,7.67201059320927,"Utqiaġvik"
"3",-2,5.45668780181387,0.0310809584404943,5.13420194668296,5.79942940999843,"Kigigak Island"
"4",-2,6.05265285147236,0.0726693978723942,5.249155786876,6.97914255698617,"Utqiaġvik"
"5",-1,5.05720526732166,0.0231966982047133,4.83242938252776,5.2924363899236,"Kigigak Island"
"6",-1,5.60953988820113,0.0641529493632516,4.94675214819214,6.36113086215966,"Utqiaġvik"
"7",0,4.68696873354645,0.0204033696712451,4.50323567964081,4.87819813840927,"Kigigak Island"
"8",0,5.19886709670867,0.0570658417373445,4.64872849969147,5.81411004988437,"Utqiaġvik"
"9",1,4.34383710924122,0.0245083258629089,4.14011120274641,4.55758792640741,"Kigigak Island"
"10",1,4.8182595414091,0.0519958607073629,4.35142230153015,5.33518086723419,"Utqiaġvik"
"11",2,4.0258260518294,0.033032838745462,3.7734395984117,4.29509336956398,"Kigigak Island"
"12",2,4.46551615506334,0.0495659018330892,4.05210875326927,4.92110052945724,"Utqiaġvik"
"13",3,3.73109649188005,0.0434491506347935,3.42651388989751,4.06275342200232,"Kigigak Island"
"14",3,4.13859700992778,0.0501611161625766,3.7510764900789,4.56615194488421,"Utqiaġvik"
"15",4,3.45794399770294,0.0546867333318271,3.10647972657982,3.84917261456416,"Kigigak Island"
"16",4,3.83561152077843,0.0536809685190542,3.45256044925858,4.26116094259481,"Utqiaġvik"
"17",5,3.20478891855853,0.0663294713566141,2.81410100892142,3.64971690069223,"Kigigak Island"
"18",5,3.55480751158832,0.0596096052992468,3.1628332893707,3.99535963116128,"Utqiaġvik"
